SodaFrequency,Correct,Year
Often,No,2018
Often,No,2018
Often,No,2018
Never,No,2018
Often,No,2018
Never,No,2018
Never,Yes,2018
Often,Yes,2018
Often,No,2018
Never,No,2018
Never,No,2018
Often,No,2018
Never,Yes,2018
Never,No,2018
Often,No,2018
Never,Yes,2018
Never,No,2018
Never,Yes,2018
Never,Yes,2018
Often,No,2018
Never,Yes,2018
Sometimes,No,2018
Never,No,2018
Sometimes,No,2018
Sometimes,No,2018
Never,No,2018
Sometimes,Yes,2019
Never,Yes,2019
Never,No,2019
Often,Yes,2019
Never,No,2019
Never,No,2019
Never,No,2019
Never,No,2019
Never,Yes,2019
Never,No,2019
Sometimes,No,2019
Never,Yes,2019
Never,Yes,2019
Sometimes,No,2019
Never,No,2019
Never,No,2019
Often,Yes,2019
Often,No,2019
Never,Yes,2019